erd;proposal;vote;power
erd1veuavpxjm35h7u8amldc4yfr769ctmswxswccjnkapmxx4y6uf0sevypql;01;yes;826542
erd1gxnkf0x4gxplnuxc354jlkpllshz5eln03rhfz5jefkrmcsapansk7wnap;01;yes;532142987
erd1sw6nzh0n9ynewhmxx9uv0r7exhcndrtpnxm5ktdq9054lee7cp7qa7vv5h;01;yes;159367560
erd14hgkl7z9gwz0cptnjfyg0mjad0atfg5sxr2eta4u3x0208asf72qefkn9m;01;yes;122570202
erd15dgzxuv2vt88g4te2rl6wgz5j4f07nd9wse87vmdjd03ex42pzgsnlg4uh;01;yes;25719125
erd14aw9wk87vf8p0dl3qqdzwjy37ma8ed803dz0lnyldfcjrgrykacslvgkqy;01;yes;6952556
erd1z8sck7dtzekhrm4mgejud8ru3skah8up5lp6hvlr25p3n6syz5nshen9kf;01;yes;397144257
erd1kxhf0pf6txcnqc4ylhg8958g4jkn2muay69up0l4thmj2mvh5g2qdfd8j8;01;yes;32155441
erd18mfnt9ylg9u34q42c7820u2s8jv93th8nl86n0maw5wf067xt4pq037pf2;01;yes;13730587
erd1hcqdr7m2dwzhmzz4h2skc79jhcgmfzc89mqeqdggcq9jgqrlkg4sreyy7z;01;yes;8355278
erd1x2gqu9jvkrfu4cqh63yvm6x76lxh3zrmextspt0g4ksncmc43kfsx34h7w;01;yes;19776718
erd1wyzdzsnux7ud88z34qwuglkppqa4rukeah5nj3w6ndazzhd4e0zqyzj8r8;01;yes;14026537
erd1v6as78xegysvtx065rzqc50x6dtcxt7wrj4zx3ca2mug86uhen8qmpdctk;01;yes;126182944
erd1hjm3hw7t9hv6l5egah4yac2nv053fpjglj7xnesrqwkxy7rranjshtwy22;01;yes;9778548
erd1dqmjkm8ptdxm0kn5evqe3kt0cyyx97azyqzl03xksqx6kycks4essmc556;01;yes;239268474
erd1484xvtew823608yc5nkj2jf4a24ug7tr384x0un6e8787023dyhqd3r2e5;01;blank;1466179069
